sample,region,seq_tool,condition
SRR15674230,0,NaN,0
SRR15674231,0,NaN,1
SRR15674232,0,NaN,1
SRR15674233,0,NaN,1
SRR15674234,0,NaN,1
SRR15674235,0,NaN,1
SRR15674236,0,NaN,1
SRR15674237,0,NaN,1
SRR15674238,0,NaN,1
SRR15674239,0,NaN,1
SRR15674240,0,NaN,1
SRR15674241,0,NaN,0
SRR15674242,0,NaN,1
SRR15674243,0,NaN,1
SRR15674244,0,NaN,1
SRR15674245,0,NaN,1
SRR15674246,0,NaN,1
SRR15674247,0,NaN,1
SRR15674248,0,NaN,1
SRR15674249,0,NaN,1
SRR15674250,0,NaN,1
SRR15674251,0,NaN,1
SRR15674252,0,NaN,0
SRR15674253,0,NaN,0
SRR15674254,0,NaN,0
SRR16124181,0,0,0
SRR16124182,0,0,0
SRR16124184,0,0,0
SRR16124186,0,0,0
SRR16124190,0,0,0
SRR16124194,0,0,0
SRR16124197,0,0,0
SRR16124198,0,0,0
SRR16124199,0,0,0
SRR16124200,0,0,0
SRR16124201,0,0,0
SRR16124203,0,0,0
SRR16124204,0,0,0
SRR16124206,0,0,0
SRR16124207,0,0,0
SRR16124210,0,0,0
SRR16124211,0,0,0
SRR16124213,0,0,0
SRR16124215,0,0,0
SRR16124216,0,0,0
SRR16124218,0,0,0
SRR16124219,0,0,0
SRR16124221,0,0,0
SRR16124222,0,0,0
SRR16124223,0,0,0
SRR16124224,0,0,0
SRR16124228,0,0,0
SRR16124229,0,0,0
SRR16124256,0,0,1
SRR16124258,0,0,1
SRR16124260,0,0,1
SRR16124263,0,0,1
SRR16124265,0,0,1
SRR16124267,0,0,1
SRR16124268,0,0,1
SRR16124270,0,0,1
SRR16124272,0,0,1
SRR16124275,0,0,1
SRR16124279,0,0,1
SRR16124281,0,0,1
SRR16124283,0,0,1
SRR16124285,0,0,1
SRR16124287,0,0,1
SRR16124290,0,0,1
SRR16124291,0,0,1
SRR16124293,0,0,1
SRR16124296,0,0,1
SRR16124297,0,0,1
SRR16124303,0,0,1
SRR16124305,0,0,1
SRR16124307,0,0,1
SRR16124308,0,0,1
SRR16124311,0,0,1
SRR16124315,0,0,1
SRR16124320,0,0,1
SRR16124324,0,0,1
SRR16124327,0,0,1
SRR16124328,0,0,1
SRR16124329,0,0,1
SRR16124331,0,0,1
SRR16124333,0,0,1
SRR16124335,0,0,1
SRR16124336,0,0,1
SRR16124337,0,0,1
SRR16124339,0,0,1
SRR16124340,0,0,1
SRR16124342,0,0,1
SRR16124344,0,0,1
SRR16124347,0,0,1
SRR16124348,0,0,1
SRR16124350,0,0,1
SRR16124352,0,0,1
SRR16124353,0,0,1
SRR16124356,0,0,1
SRR5665024,1,1,1
SRR5665025,1,1,1
SRR5665026,1,1,1
SRR5665027,1,1,1
SRR5665028,1,1,1
SRR5665029,1,1,1
SRR5665030,1,1,1
SRR5665031,1,1,1
SRR5665032,1,1,1
SRR5665033,1,1,1
SRR5665034,1,1,1
SRR5665035,1,1,1
SRR5665041,1,1,1
SRR5665042,1,1,1
SRR5665043,1,1,0
SRR5665044,1,1,1
SRR5665045,1,1,0
SRR5665046,1,1,0
SRR5665047,1,1,0
SRR5665048,1,1,0
SRR5665049,1,1,0
SRR5665050,1,1,0
SRR5665051,1,1,1
SRR5665052,1,1,1
SRR5665053,1,1,1
SRR5665054,1,1,1
SRR5665055,1,1,1
SRR5665056,1,1,1
SRR5665057,1,1,1
SRR5665058,1,1,1
SRR5665059,1,1,1
SRR5665060,1,1,1
SRR5665061,1,1,1
SRR5665103,1,1,1
SRR5665122,1,1,0
SRR5665144,1,1,1
SRR5665155,1,1,0
SRR5665156,1,1,0
SRR5665157,1,1,0
SRR5665158,1,1,0
SRR5665159,1,1,0
SRR5665160,1,1,0
SRR5665161,1,1,0
SRR5665162,1,1,0
SRR5665163,1,1,0
SRR5665164,1,1,0
SRR5665178,1,1,0
SRR5665179,1,1,0
SRR5665180,1,1,0
SRR5665181,1,1,0
SRR5665182,1,1,0
SRR5665183,1,1,0
SRR5665184,1,1,0
SRR5665185,1,1,0
SRR5665186,1,1,0
SRR5665187,1,1,0
SRR8506019,0,1,0
SRR8506020,0,1,0
SRR8506021,0,1,0
SRR8506022,0,1,0
SRR8506023,0,1,0
SRR8506024,0,1,0
SRR8506025,0,1,0
SRR8506026,0,1,0
SRR8506027,0,1,0
SRR8506028,0,1,0
SRR8506029,0,1,0
SRR8506030,0,1,0
SRR8506031,0,1,0
SRR8506032,0,1,0
SRR8506033,0,1,0
SRR8506034,0,1,0
SRR8506035,0,1,0
SRR8506036,0,1,0
SRR8506037,0,1,0
SRR8506038,0,1,0
SRR8506039,0,1,1
SRR8506040,0,1,1
SRR8506041,0,1,1
SRR8506042,0,1,1
SRR8506043,0,1,1
SRR8506044,0,1,1
SRR8506045,0,1,1
SRR8506046,0,1,1
SRR8506047,0,1,1
SRR8506048,0,1,1
SRR8506049,0,1,1
SRR8506050,0,1,1
SRR8506051,0,1,1
SRR8506059,0,1,1
SRR8506060,0,1,1
SRR8506061,0,1,1
SRR8506062,0,1,1
SRR8506063,0,1,1
SRR8506064,0,1,1
SRR8506065,0,1,1
SRR8506066,0,1,1
SRR8506067,0,1,1
SRR8506068,0,1,1
SRR8506069,0,1,1
SRR8506070,0,1,1
SRR8506071,0,1,1
SRR8506072,0,1,1
SRR8506073,0,1,1
SRR8506074,0,1,1
SRR8506075,0,1,1
SRR8506076,0,1,1
SRR8506077,0,1,1
SRR8506082,0,1,0
SRR8506083,0,1,0
SRR8506084,0,1,0
SRR8506085,0,1,0
SRR8506098,0,1,0
SRR8506099,0,1,0
SRR8506100,0,1,0
SRR8506101,0,1,0
SRR8506102,0,1,0
SRR8506103,0,1,0
SRR8506104,0,1,0
SRR8506105,0,1,0
SRR8506106,0,1,0
SRR8506107,0,1,0
SRR8506108,0,1,0
SRR8506109,0,1,0
SRR8506110,0,1,0
SRR8506111,0,1,0
SRR8506112,0,1,0
SRR8506113,0,1,0
SRR8506114,0,1,0
SRR8506115,0,1,0
SRR8506116,0,1,0
SRR8506117,0,1,0
